Name	Key	Frames	X	Y	Size
{chaoxiao}	[0]	1	0	0	0.125
{ciyaxiao}	[1]	1	0.125	0	0.125
{fadai}	[2]	1	0.25	0	0.125
{haha}	[3]	1	0.375	0	0.125
{han2}	[4]	1	0.5	0	0.125
{heng}	[5]	1	0.625	0	0.125
{jingya}	[6]	1	0.75	0	0.125
{jingya2}	[7]	1	0.875	0	0.125
{jiyan}	[8]	1	0	0.125	0.125
{liubizi}	[9]	1	0.125	0.125	0.125
{mwbq}	[A]	1	0.25	0.125	0.125
{shengbing}	[B]	1	0.375	0.125	0.125
{shengqi}	[C]	1	0.5	0.125	0.125
{shengqi2}	[D]	1	0.625	0.125	0.125
{shiluo}	[E]	1	0.75	0.125	0.125
{sysicon}	[F]	1	0.875	0.125	0.125
{teng}	[G]	1	0	0.25	0.125
{v1}	[H]	1	0.125	0.25	0.125
{v10}	[I]	1	0.25	0.25	0.125
{v11}	[J]	1	0.375	0.25	0.125
{v12}	[K]	1	0.5	0.25	0.125
{v2}	[L]	1	0.625	0.25	0.125
{v3}	[M]	1	0.75	0.25	0.125
{v4}	[N]	1	0.875	0.25	0.125
{v5}	[O]	1	0	0.375	0.125
{v6}	[P]	1	0.125	0.375	0.125
{v7}	[Q]	1	0.25	0.375	0.125
{v8}	[R]	1	0.375	0.375	0.125
{v9}	[S]	1	0.5	0.375	0.125
{wen1}	[T]	1	0.625	0.375	0.125
{wen2}	[U]	1	0.75	0.375	0.125
{worldicon}	[V]	1	0.875	0.375	0.125
{wuyu}	[W]	1	0	0.5	0.125
{wuyu2}	[X]	1	0.125	0.5	0.125
{xiangku}	[Y]	1	0.25	0.5	0.125
{xiao}	[Z]	1	0.375	0.5	0.125
{xiaohan}	[a]	1	0.5	0.5	0.125
{xiaoku}	[b]	1	0.625	0.5	0.125
{xiaoquan}	[c]	1	0.75	0.5	0.125
{xiaoyan}	[d]	1	0.875	0.5	0.125
{xiaoyun}	[e]	1	0	0.625	0.125
